questions,answers
asking control measure fruit fly,suggested to spray malathion 50 ec @ 2ml/lit water
asking time procedure application fertlizer ahu rice direct seeded,replied that full dose of phosphatic fertlizer to be applied at the time of final ploughing and to apply half of nitrogenous and half of potassic fertilizer 15-25 days after first germination or after first weeding and the second top dressing with the remaining nitrogenous and potassic fertilizer to be done at 40-45 days after germination or after second weeding
asking fertiliser application coconut,given in details.
asking fertiliser dos five year coconut,givn in details.
asking different good variety carrot,"suggested as nantis, pusa keswar ,etc."
asking control measure fruit fly chilli,suggested to spray malathion 50 ec @ 2 ml/lit. water
asking different variety capsularis jute,"suggested as sonali, reshma,shyamali, sabozsona."
asking control measure fruit borer pest attack brinjal,suggested to spray malathion 50 ec @ 2 mililitre / litre of water.
asking name crop booster better yield chiili,suggested to spray green harvest @ 2gram/lit of water at the time of flowering and fruiting for better yield.
asking abut control measure fruit fly,suggested to spray malathion 50 ec @ 2ml/lit. water
asking control measure termitered ant white grub sugarcane,suggested to apply malathion 5% dust @ 20-25kg/ha to the trenches/furrows before planting.
asking control measure stem bleeding cocout tree,suggested to chisel affected tissue and dress the wound with 5% calixin (5 ml in 100 ml of water). apply coal tar after 2 days. burn off chiselled pieces.
asking control measure cabbage looper pest attack cabbage cultivation,suggested to spray quinolphose 25 ec @ 2 mililitre / litre of water followed by waiting period for 6 days.
asking control measure fruit fly,suggested to spray malathion 50ec@ 2ml/lit water
asking fertiliser dos 7 year old arecanut,"suggested to apply urea200gram,ssp250 gram, and mop 250gram along with 50gram borax and 15kg manure."
asking variety name okra,"suggested about the variety like-urea @ 5 kilogram / bigha,ssp @ 25 kilogram / bigha,mop @ 7 kilogram / bigha,compost @ 2 quintle/ bigha."
asking treatment fever cow,suggested to administer paralgin -np bolus @2 bolus daily for three consecutive days.
asking package practice jute mid high land,suggested varieties like jrc 212 an jrc 7447 and explained in details about the package of practice for the same
asking micronutrient brinjal,"suggested about the micro-nutrient like-tracel,green harverst crop booster etc."
asked dosage fertilizer coconut plant,gave him in details.
asking treatment diarrhoea cow,suggested to administer neblon powder @ 50 gm twice daily for for five days.
ask regarding control pseuedostem borer,ask him to spray 0.1% malathion.
asking make seedling root shor,there is no way as it natural
asking source information pure goat breed varities,"suggested to contact the farm manager , goatb research farm, burnihat."
aksed composite fish culture,given in detail about composite fish culture.
asking control measure fruit rot disease cucumber,suggested to apply indofil m-45 @ 2gram / litre of water.
asking control measure leaf blast disease attack boro rice,suggested to apply carbendazim @ 2 gram / litre of water.
asking control measure fruit borer pest attack brinjal,suggested to spray malathion 50 ec @ 2 mililitre/ litre of water.
ask place find seed ranjit var,advice him to collect. from assam seed corporation.
ask fert dose cultivatin chilli,suggest properdose and proper application method.
asking micronutrient name chilli,"suggested about the micro nutrient like-green harvest cropo booster,miracle,tracel etc."
stem borer problem rice cultivation,suggested to spray tricel 20ec @2ml/liter of water.
aksing fish ratio four specie composite fish culture,"given as rohu:20-30%, catla:30-40%, mrigal: 15-20%,c common carp: 5-10% in four species composite fish culture."
others,given
asking control measure fruit rot disease bottle gourd,suggested to apply mancozeb @ 2 gram /litre of water.
asking source information pure goat breed,"suggested to contact the farm manager, goat research farm , burnihat."
asking vaccination schedule viral disease,explained in details.
non bearing problem mango tree,suggested to apply recomended dose of ferlizers.
asking treatment diarrhoea calf,suggested to administer norflox -tz @1/2 tab twice a day for three consecutive days.
control measure fruit drop mango,"suggested to spray 2,4 d/all out 34 ec/ champion 78sl @ 10ml/lit water twicw at full bloom and again after 2 months of 1st spray."
asking treatment tick infestation cow,suggested to give butox bath @ 2ml/lit of water and repeat the same procedure after 7 days.
asking source information pure goat breed,"suggested to contact the farm manager, goat research farm ,burnihat."
asking treatment fever cow,suggested to administer paralgin-np bolus @1bolus/100kg body wt . daily for three consecutive days.
pest problem jute,suggest to  spray monocrotophos @ 1.5 ml per litre of water. in the interval of 15 days.
control measure yelllow stem borer pest attack boro rice,suggested to spray chlorpyriphos 20 ec @ 2 ml/ litre of water.
asking control measure fruit rot disease chilli,suggested to apply mancozeb @ 2 gram / litre of water.
asking information availability basmoti rice,suggested to visit seed corporation office.
asking cultivation practice anthurium,given in details
fruit fly problem ridge gourd,suggested to spray pactus @ 2gm/10 litre of water.
blast rice,suggested to spray blast off 21gm/litre of water.
querried get quality fish seed,suggested him to contact nearest fisheries deptt. or any fish hatcheris nearby.
cultivation practice chilli,explain details
agriculture related problem,transfer to agriculture expert.
asking control measure phytophthora leaf rot disease betel vine,suggested to spray 1% bordeaux mixture
fertiler practice coconut,explain in deatils
asking control measure fruit borer pest attack okra,suggested to spray quinophos 25 % ec @ 2 ml/litre of water.
control measure root rot disease anthurium,advised to spray captaf @ 3 gram / litre of water.
asking fish seed,given in detail.
asking composite fish culture,given ibn detail about the composite fish culture.
asking control measure downy mildew disease ridge gourd,suggested to apply mancozeb @ 2 gram / litre of water.
control measure powdery mildew ridge gourd,suggested to apply sulfex @ 2.5 gram / litre  of water.
insect problem brinjal,application malathion 50 ec @ 1.5 ml per litre of water of water
